2023-05-22 20:05:617 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (6c6c6aacb201a35b2b01f0ca952783e9)] -> xpath: //button[@type='submit']]
2023-05-22 20:05:640 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 20:05:198 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:267 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (8a3fc5f697f09eff096d2dec05662b59)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:520 INFO  BankManagerLoginPage :35 - Click on [[ChromeDriver: chrome on WINDOWS (8a3fc5f697f09eff096d2dec05662b59)] -> xpath: //button[normalize-space()='Open Account']]
2023-05-22 22:05:380 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:47 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (0d1b2ffbf42173a6583d14e6295a9478)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 22:05:593 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (0d1b2ffbf42173a6583d14e6295a9478)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 22:05:10 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (0d1b2ffbf42173a6583d14e6295a9478)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 22:05:277 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (0d1b2ffbf42173a6583d14e6295a9478)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 22:05:454 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 22:05:596 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (0d1b2ffbf42173a6583d14e6295a9478)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:640 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 22:05:884 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:134 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (8823d103c1707aee793b77fc61932528)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 22:05:505 INFO  BankManagerLoginPage :35 - Click on [[ChromeDriver: chrome on WINDOWS (8823d103c1707aee793b77fc61932528)] -> xpath: //button[normalize-space()='Open Account']]
2023-05-22 22:05:81 INFO  OpenAccountPage :27 - Select [[ChromeDriver: chrome on WINDOWS (8823d103c1707aee793b77fc61932528)] -> xpath: //select[@id='userSelect']]
